component_id,count,mean,min,max
10955,4,1.000000,1.000000,1.000000
10965,4,1.000000,1.000000,1.000000
10971,4,0.961719,0.961719,0.961719
10984,4,1.000000,1.000000,1.000000
10995,12,1.000000,1.000000,1.000000
10999,4,1.000000,1.000000,1.000000
11017,4,1.000000,1.000000,1.000000
11048,4,1.000000,1.000000,1.000000
11079,8,0.963182,0.960634,0.965730
11092,4,1.000000,1.000000,1.000000
11107,4,0.967551,0.967551,0.967551
11133,12,0.963777,0.962025,0.967164
11174,4,1.000000,1.000000,1.000000
11192,4,0.998961,0.998961,0.998961
11194,4,0.977729,0.977729,0.977729
11200,4,0.967716,0.967716,0.967716
11213,4,1.000000,1.000000,1.000000
11227,4,0.993393,0.993393,0.993393
11240,4,1.000000,1.000000,1.000000
11255,4,1.000000,1.000000,1.000000
11260,4,1.000000,1.000000,1.000000
11268,4,1.000000,1.000000,1.000000
11278,4,0.986108,0.986108,0.986108
11279,18,1.000000,1.000000,1.000000
11296,12,1.000000,1.000000,1.000000
11322,4,1.000000,1.000000,1.000000
11323,24,1.000000,1.000000,1.000000
11351,4,1.000000,1.000000,1.000000
11376,4,0.965197,0.965197,0.965197
11381,4,1.000000,1.000000,1.000000
11396,4,1.000000,1.000000,1.000000
11407,4,1.000000,1.000000,1.000000
11421,8,0.965217,0.963664,0.966769
11516,4,1.000000,1.000000,1.000000
11521,4,0.987967,0.987967,0.987967
11532,4,0.979922,0.979922,0.979922
11545,4,1.000000,1.000000,1.000000
11557,4,1.000000,1.000000,1.000000
11566,4,0.978354,0.978354,0.978354
11598,4,1.000000,1.000000,1.000000
11604,4,1.000000,1.000000,1.000000
11665,4,1.000000,1.000000,1.000000
11669,4,1.000000,1.000000,1.000000
11732,20,0.991265,0.987839,0.995853
11756,4,1.000000,1.000000,1.000000
11775,4,1.000000,1.000000,1.000000
11791,4,1.000000,1.000000,1.000000
11807,16,0.981521,0.963042,1.000000
11809,4,0.996683,0.996683,0.996683
11828,4,0.970250,0.970250,0.970250
11842,4,1.000000,1.000000,1.000000
11858,12,0.962624,0.960296,0.964261
11862,4,1.000000,1.000000,1.000000
11866,4,1.000000,1.000000,1.000000
11875,4,0.984100,0.984100,0.984100
11882,4,0.988586,0.988586,0.988586
11885,4,0.984376,0.984376,0.984376
11909,4,0.983910,0.983910,0.983910
11939,4,1.000000,1.000000,1.000000
11963,4,0.963924,0.963924,0.963924
11990,4,1.000000,1.000000,1.000000
12009,4,1.000000,1.000000,1.000000
12040,4,0.981049,0.981049,0.981049
12059,4,1.000000,1.000000,1.000000
12081,4,0.997493,0.997493,0.997493
12085,4,0.988927,0.988927,0.988927
12093,12,1.000000,1.000000,1.000000
12097,4,1.000000,1.000000,1.000000
12104,4,1.000000,1.000000,1.000000
12111,12,1.000000,1.000000,1.000000
12159,4,0.995969,0.995969,0.995969
12180,4,1.000000,1.000000,1.000000
12185,4,0.976247,0.976247,0.976247
12190,4,0.978027,0.978027,0.978027
12193,12,1.000000,1.000000,1.000000
12209,4,0.968369,0.968369,0.968369
12231,4,1.000000,1.000000,1.000000
12289,4,1.000000,1.000000,1.000000
12330,4,1.000000,1.000000,1.000000
